ds,yhat,yhat_lower,yhat_upper,y,category
2020-01-01,15763837.013782445,14238036.964736383,17293890.048787788,16050131.0,Accessories
2020-02-01,14646633.726698332,13202245.768818337,16295366.74029717,14956051.0,Accessories
2020-03-01,16585880.828190112,15041824.540690932,18018153.02720771,16530158.0,Accessories
2020-04-01,15570007.524840549,13935693.482720379,17069629.175181024,15482423.0,Accessories
2020-05-01,16162645.77753477,14504289.176116118,17718708.04108855,15984838.0,Accessories
2020-06-01,15619853.629866345,14101483.957382476,17315077.94238454,15898889.0,Accessories
2020-07-01,16016367.819185609,14503027.375056183,17519659.153062157,16383322.0,Accessories
2020-08-01,16311427.94517867,14827401.363208368,17907592.712921962,15960918.0,Accessories
2020-09-01,16129843.68422647,14576266.835227331,17707615.821936097,15587040.0,Accessories
2020-10-01,16421752.569696225,14739118.67706231,18062801.59658624,15949616.0,Accessories
2020-11-01,12521946.534807961,10894084.370624721,13989309.648721632,15463972.0,Accessories
2020-12-01,16449451.36385432,14898436.600964388,18095058.26832602,15600016.0,Accessories
2021-01-01,16809789.447029132,15161744.150031451,18363539.959367022,16250842.0,Accessories
2021-02-01,14827832.224634675,13297948.623794047,16402101.24899553,14836270.0,Accessories
2021-03-01,16571628.29695429,15062259.65716364,18190695.70987369,16369653.0,Accessories
2021-04-01,15733970.843017295,14284405.175564302,17399283.255554363,16011804.0,Accessories
2021-05-01,16364071.302556423,14964640.59334987,17967926.783456665,16073046.0,Accessories
2021-06-01,15677797.38499183,14119508.091937123,17191436.778428987,15469802.0,Accessories
2021-07-01,16091163.717232162,14536085.057448905,17699941.850862894,15899540.0,Accessories
2021-08-01,16357617.581544992,14821302.319870789,17904254.02651834,16130364.0,Accessories
2021-09-01,15872451.55306855,14340149.667486452,17344781.738360643,15376741.0,Accessories
2021-10-01,16018101.943487179,14424929.432411045,17669989.265247706,15142769.0,Accessories
2021-11-01,13729942.079351125,12143994.659801094,15382063.277449785,15408981.0,Accessories
2021-12-01,16253305.562729191,14688274.496140106,17733775.532552145,16043886.0,Accessories
2022-01-01,16534346.15760995,14896655.574093893,17924743.01630618,16150431.0,Accessories
2022-02-01,14827067.592195695,13349977.95758723,16403084.600294344,14281087.0,Accessories
2022-03-01,16561192.68167729,14987930.871442787,18173396.575417448,16798661.0,Accessories
2022-04-01,15903186.145810526,14361451.840755887,17414854.758118864,15576367.0,Accessories
2022-05-01,16564822.415664742,15002724.845528837,18086075.567358922,16454070.0,Accessories
2022-06-01,15732707.657263083,14195287.131482184,17254907.742864247,15381730.0,Accessories
2022-07-01,16162740.46155675,14606077.508970894,17687693.135432474,16302946.0,Accessories
2022-08-01,16397818.92754764,14811301.674751699,17993351.221716464,16877367.0,Accessories
2022-09-01,15611450.544123547,14082051.007279875,17137030.535680026,15806215.0,Accessories
2022-10-01,15631546.875971235,13920581.777820265,17116588.166645892,15787013.0,Accessories
2022-11-01,14950373.028199634,13471091.70791184,16587411.061794616,15964419.0,Accessories
2022-12-01,16035504.183787119,14527332.19443456,17509138.14947431,16302085.0,Accessories
2023-01-01,16253477.225525606,14618943.889325805,17696518.59836472,16436890.0,Accessories
2023-02-01,14829652.539373614,13305639.516580572,16387016.024143476,14371724.0,Accessories
