ds,yhat,yhat_lower,yhat_upper,y,category
2020-01-01,14000745.285098502,12717518.802463083,15307873.068137124,14515166.0,Audio
2020-02-01,12793475.535746675,11461156.3450945,14072492.23849913,13112296.0,Audio
2020-03-01,14233354.455357341,12986934.257942624,15555250.572589198,14169960.0,Audio
2020-04-01,13461504.43967832,12198947.364762003,14767573.147075552,13197828.0,Audio
2020-05-01,14157924.44068351,12877285.237683358,15416844.107234668,13962176.0,Audio
2020-06-01,13030197.026725844,11739636.38441496,14262928.611633562,13194208.0,Audio
2020-07-01,14122554.092406083,12821836.635479553,15468642.579394192,14288844.0,Audio
2020-08-01,13841206.54756717,12599065.288550196,15154644.220938357,13540982.0,Audio
2020-09-01,14015534.959256673,12797609.882172786,15381119.865919784,13458099.0,Audio
2020-10-01,14812570.051703019,13484031.367184725,16128644.049129281,14145755.0,Audio
2020-11-01,10732621.771976195,9497353.388289537,12041241.287794093,13289618.0,Audio
2020-12-01,14702234.632704418,13426876.665601606,15986101.050047468,14115314.0,Audio
2021-01-01,13900112.894626696,12570123.350215644,15120656.183555825,13357056.0,Audio
2021-02-01,12568694.770804368,11227995.976806019,13848081.430088602,12339410.0,Audio
2021-03-01,14003414.235848492,12745572.580616498,15276692.455843873,13972201.0,Audio
2021-04-01,13485023.880000973,12297298.305831196,14840967.986302743,13157521.0,Audio
2021-05-01,14069341.816425592,12821342.897919074,15310596.234851254,13890050.0,Audio
2021-06-01,13235002.717949469,12013130.131341679,14450007.66538251,12945970.0,Audio
2021-07-01,14172263.740428103,12922386.34642289,15487544.762838367,14197004.0,Audio
2021-08-01,13789950.949841727,12465858.021122212,14961039.39907778,13325894.0,Audio
2021-09-01,13639196.920977585,12318682.652598055,14986134.087690748,13154672.0,Audio
2021-10-01,14310795.4288588,12976292.89895842,15671836.155998781,14410712.0,Audio
2021-11-01,11872866.398703003,10562844.54948608,13147462.538498491,13197368.0,Audio
2021-12-01,14122358.447252318,12831417.206846323,15516374.448710682,13942791.0,Audio
2022-01-01,13886295.392955415,12536721.43317727,15156561.562419837,14014413.0,Audio
