ds,yhat,yhat_lower,yhat_upper,y,category
2020-01-01,9160579.07793762,8206979.270729006,10066154.49973572,9055089.0,Desktop
2020-02-01,8722538.894921068,7803729.052733592,9653098.550820004,8493806.0,Desktop
2020-03-01,9725125.103522815,8778157.670383567,10726215.196223991,9669508.0,Desktop
2020-04-01,8850992.026865616,7913467.586166486,9802682.125288563,8741368.0,Desktop
2020-05-01,9280434.278160065,8323740.284905122,10217974.001061203,9392633.0,Desktop
2020-06-01,9006053.374958174,8070595.875960106,9833711.435852092,9114269.0,Desktop
2020-07-01,9446154.904840678,8567114.869752865,10419947.108432489,9278713.0,Desktop
2020-08-01,9419001.051004417,8482803.889414076,10329888.309040064,9339059.0,Desktop
2020-09-01,9420310.684778797,8507209.016117355,10337182.445774926,9119008.0,Desktop
2020-10-01,9566756.257962098,8696779.555736396,10542427.398926508,8929808.0,Desktop
2020-11-01,7276674.109516835,6286990.232252188,8187806.83112719,9188999.0,Desktop
2020-12-01,9944590.29218164,8968311.001570603,10881493.835598221,9540052.0,Desktop
2021-01-01,9557658.5453214,8614190.517482532,10465967.271516066,9348159.0,Desktop
2021-02-01,8763571.24660915,7855170.042757906,9739510.358682865,8493663.0,Desktop
2021-03-01,9625590.977304196,8719235.371888893,10642696.45143972,9926514.0,Desktop
2021-04-01,8954549.358531507,7998084.132436677,9913228.631324233,8788350.0,Desktop
2021-05-01,9488160.505091479,8592627.852864094,10402902.011471288,9570078.0,Desktop
2021-06-01,9055158.385950074,8084684.67123288,10005243.344254972,9135435.0,Desktop
2021-07-01,9407627.292254804,8437262.847717946,10369182.983079301,9311240.0,Desktop
2021-08-01,9372020.9583917,8408823.940414462,10287953.58021185,9499845.0,Desktop
2021-09-01,9205503.64537986,8303360.571806217,10160107.262583587,9218564.0,Desktop
2021-10-01,9486919.794520821,8559207.822379548,10329660.562071703,9124117.0,Desktop
2021-11-01,8020232.319870104,7029564.828255324,8879249.121544186,9151241.0,Desktop
2021-12-01,9665142.613814844,8722230.823196266,10571253.045518259,9677199.0,Desktop
2022-01-01,9453526.464589793,8557890.55344712,10358675.078065295,9350283.0,Desktop
2022-02-01,8775098.187923126,7908495.9071865035,9696307.937975714,8975611.0,Desktop
2022-03-01,9527277.44300799,8612092.510084856,10502378.804129977,9552515.0,Desktop
2022-04-01,9062019.037131522,8151266.202408605,10057300.767224789,8968001.0,Desktop
2022-05-01,9693236.263083173,8752295.176833501,10575844.200524682,9373026.0,Desktop
2022-06-01,9097152.61993987,8214957.233214616,9977274.282169836,8693511.0,Desktop
2022-07-01,9362008.438812004,8406662.927817252,10232028.211521238,9716367.0,Desktop
2022-08-01,9318570.974068316,8363310.205783454,10278178.325221969,9767863.0,Desktop
2022-09-01,8988052.777263237,8014309.885264146,9920288.142946763,8787463.0,Desktop
2022-10-01,9414261.842084453,8499603.281392643,10393266.09408959,9627305.0,Desktop
2022-11-01,8755726.119498136,7824345.476597062,9678640.542934006,8784636.0,Desktop
2022-12-01,9355408.073104214,8387989.769268278,10239352.166301787,9465868.0,Desktop
2023-01-01,9325895.068413867,8387088.968929018,10319245.421356454,9420224.0,Desktop
2023-02-01,8760443.77700381,7778988.079276738,9603865.107129259,8916503.0,Desktop
2023-03-01,9397406.348084807,8502179.569354784,10279598.063925613,9154381.0,Desktop
2023-04-01,9136115.86901149,8197296.061170451,10157783.951401984,8975974.0,Desktop
2023-05-01,9849840.586628709,8842673.767340794,10776144.563929956,9686368.0,Desktop
2023-06-01,9084911.136959935,8221852.12864462,9993131.122524563,9008352.0,Desktop
2023-07-01,9256719.501190841,8335472.543378445,10143936.978260862,8840998.0,Desktop
2023-08-01,9201444.265426915,8245574.204074385,10186146.453797188,8825229.0,Desktop
2023-09-01,8710025.420719665,7760413.979764928,9626227.930794278,8990235.0,Desktop
2023-10-01,9281774.632600877,8334463.190621631,10235840.041738063,9548850.0,Desktop
2023-11-01,9423702.248286044,8510935.552627185,10340574.31854848,9403442.0,Desktop
2023-12-01,8943766.147761812,8041486.891151137,9909577.754263872,9234292.0,Desktop
2024-01-01,9080192.039376188,8142982.112441019,10028791.686273763,9415451.0,Desktop
2024-02-01,8608538.085701562,7655210.906957434,9474605.10459208,8761031.0,Desktop
2024-03-01,9558966.962934593,8630356.153762883,10393612.338854033,9539884.0,Desktop
2024-04-01,8661788.552002525,7787504.874998037,9607194.846910236,9212628.0,Desktop
2024-05-01,9043527.342431415,8094538.607051078,10025811.210465131,9346576.0,Desktop
2024-06-01,8737535.05923231,7875027.957197011,9731695.931366492,9043331.0,Desktop
2024-07-01,9125333.88078117,8289473.038097324,9967172.578422533,9461019.0,Desktop
2024-08-01,9058747.338701414,8076623.194111987,9986713.233677724,8930520.0,Desktop
2024-09-01,9019662.2749367,8075238.227303596,10003949.544741599,9238910.0,Desktop
2024-10-01,9120244.74132792,8186080.656863033,10035901.11536347,9668249.0,Desktop
2024-11-01,6905908.328138762,5984808.81250344,7844838.176738938,3689732.0,Desktop
2024-12-01,9396718.99994256,8426633.311887138,10356167.096554058,,Desktop
2025-01-01,8990234.900905346,8075040.145443627,9945774.696947692,,Desktop
2025-02-01,8205832.360779963,7263761.126600212,9169698.42648326,,Desktop
2025-03-01,8975842.638642306,8067439.878558007,9964954.732300874,,Desktop
2025-04-01,8311851.173214706,7365879.963947587,9243782.731747545,,Desktop
2025-05-01,8767960.984733187,7875754.342383493,9773016.578085039,,Desktop
2025-06-01,8329180.557328082,7346222.61036259,9210085.766849805,,Desktop
2025-07-01,8614575.069178222,7664307.4390250165,9618618.210858366,,Desktop
2025-08-01,8542027.785485247,7640148.838234248,9511716.930920118,,Desktop
2025-09-01,8351039.734274999,7421569.401448284,9342422.96694397,,Desktop
