ds,yhat,yhat_lower,yhat_upper,y,category
2020-01-01,13141514.711217126,11763008.74246776,14525681.887051942,13384473.0,Laptop
2020-02-01,12475844.429291658,11126921.222156122,13926798.376202013,12247456.0,Laptop
2020-03-01,14008407.477116473,12678753.075987648,15404454.497612044,13360866.0,Laptop
2020-04-01,13107962.066931823,11682341.918007217,14491994.744914223,12823307.0,Laptop
2020-05-01,13209546.834278595,11764876.416865189,14545850.729102992,13576788.0,Laptop
2020-06-01,12823562.258818898,11428607.11360748,14320784.621676147,12960699.0,Laptop
2020-07-01,13601140.846277026,12235330.051096031,15024149.081357295,13629587.0,Laptop
2020-08-01,13757752.398385564,12389793.155269878,15155228.400642067,13817159.0,Laptop
2020-09-01,13022098.464004576,11631400.218436982,14393447.093479896,12724301.0,Laptop
2020-10-01,14174874.507466963,12733527.557945205,15553076.653255602,13668788.0,Laptop
2020-11-01,10680463.750490211,9223154.540451175,12082626.424342398,13770347.0,Laptop
2020-12-01,13565998.90863444,12160593.17895178,14945045.35012806,13156803.0,Laptop
2021-01-01,13619015.442965768,12276582.74027591,15007519.006585738,13157919.0,Laptop
2021-02-01,11685270.375238687,10331681.462443003,13028064.128665738,11551367.0,Laptop
2021-03-01,13574937.92915204,12080712.717017755,15068153.86767074,13145329.0,Laptop
2021-04-01,13068182.041596642,11682323.492741251,14436172.8526601,13344633.0,Laptop
2021-05-01,13391659.393723188,12050583.570097893,14778485.035635566,13001597.0,Laptop
2021-06-01,13033948.172136234,11682745.278424848,14451098.065284617,13232799.0,Laptop
2021-07-01,13489414.616957946,12120116.108405871,14872670.933808638,13074747.0,Laptop
2021-08-01,13540568.551279716,12236133.173679747,14979317.244041253,13139677.0,Laptop
2021-09-01,12831560.802245246,11425914.158572497,14290134.155066289,12839064.0,Laptop
2021-10-01,13756721.822348973,12330391.482330322,15114743.412140993,13717426.0,Laptop
2021-11-01,11599871.417517634,10230259.995316142,13029737.458912766,12902338.0,Laptop
2021-12-01,13206313.683402052,11823005.568386681,14571906.63090376,13249500.0,Laptop
2022-01-01,13406963.408299683,11968308.491986241,14731072.469374033,13525437.0,Laptop
2022-02-01,11904549.110682603,10394427.222682403,13201989.003846021,11499632.0,Laptop
2022-03-01,13143377.864629965,11882077.225883394,14599798.142884133,13181175.0,Laptop
2022-04-01,13037942.163844826,11687517.993663883,14482869.022381162,13101422.0,Laptop
2022-05-01,13576536.197531503,12230710.9072443,14910788.265190918,13842077.0,Laptop
2022-06-01,13238174.422989191,11885999.528321799,14648809.071551386,12772192.0,Laptop
2022-07-01,13369704.67499951,12072198.8161584,14789318.559397323,13121307.0,Laptop
2022-08-01,13320886.889584834,11946619.30884403,14742187.82372306,12970405.0,Laptop
2022-09-01,12643045.974950971,11117623.134998143,14052966.621315502,11871566.0,Laptop
