ds,yhat,yhat_lower,yhat_upper,y,category
2020-01-01,1539307.3666396113,1367091.5344901367,1715073.6448447006,1628780.0,Smart Speaker
2020-02-01,1631878.8508697432,1459163.7101842444,1813540.6026947934,1683610.0,Smart Speaker
2020-03-01,1668615.6196382812,1494307.6953402816,1833834.7120071019,1678644.0,Smart Speaker
2020-04-01,1729541.0455762832,1560525.9515705297,1907230.853205186,1829316.0,Smart Speaker
2020-05-01,1567471.1224932908,1388252.532129841,1745709.7346001153,1586998.0,Smart Speaker
2020-06-01,1553064.742812225,1375298.645430892,1723857.3610508807,1495674.0,Smart Speaker
2020-07-01,1592280.924806055,1408176.5448586105,1763096.8856946845,1602316.0,Smart Speaker
2020-08-01,1670531.7496368238,1492525.6359934178,1830101.4061830835,1656082.0,Smart Speaker
2020-09-01,1582126.5810806167,1411322.3021605674,1760283.9594647863,1441140.0,Smart Speaker
2020-10-01,1569221.2614994608,1390670.6521537013,1729835.6010545301,1552690.0,Smart Speaker
2020-11-01,1231622.3718085887,1050197.3375737423,1394209.228351936,1410246.0,Smart Speaker
2020-12-01,1768840.1067227074,1587708.7395861717,1936337.7647329357,1657280.0,Smart Speaker
2021-01-01,1679681.2414690498,1500989.8754454849,1846421.1781211821,1621982.0,Smart Speaker
2021-02-01,1488719.6350490656,1311494.3448431313,1660827.079826751,1408926.0,Smart Speaker
2021-03-01,1671863.0737073272,1494516.569853565,1839865.3334131858,1593026.0,Smart Speaker
2021-04-01,1743556.6102775345,1573629.916597786,1918978.4477933215,1633658.0,Smart Speaker
2021-05-01,1678676.9590286629,1508089.0556913984,1851042.7126827345,1609894.0,Smart Speaker
2021-06-01,1625397.2940446443,1445698.4915827971,1790557.9976612409,1801908.0,Smart Speaker
2021-07-01,1666131.1319717518,1509748.243874721,1834776.134316743,1491170.0,Smart Speaker
2021-08-01,1654772.1548298884,1477400.1020989837,1834213.429971938,1672594.0,Smart Speaker
2021-09-01,1582261.183639243,1388395.662164669,1745545.8798355118,1455772.0,Smart Speaker
2021-10-01,1614253.4014166724,1437528.938296034,1805490.3063693359,1559980.0,Smart Speaker
2021-11-01,1434259.6683132923,1257624.8751177015,1607966.0023759562,1632732.0,Smart Speaker
2021-12-01,1720889.0995056604,1552656.816806272,1906999.627737329,1701314.0,Smart Speaker
2022-01-01,1698775.5272454731,1525190.5607309907,1881988.027250281,1715954.0,Smart Speaker
2022-02-01,1601529.136154095,1427379.4728679366,1778134.1572424113,1622082.0,Smart Speaker
2022-03-01,1671607.1044320164,1511892.0537668702,1853459.5581562119,1808922.0,Smart Speaker
2022-04-01,1756952.9443417678,1574936.5310082242,1914740.7525747486,1874224.0,Smart Speaker
