ds,yhat,yhat_lower,yhat_upper,y,category
2020-01-01,15000280.227836173,13346063.492338272,16454155.94532064,14862178.0,Smartphone
2020-02-01,13893044.421015149,12350224.701697586,15360647.490732105,13650569.0,Smartphone
2020-03-01,15594974.847931424,14053217.466666665,17081413.141959473,15237049.0,Smartphone
2020-04-01,14668255.487898683,13117392.94343784,16204557.347157203,14813213.0,Smartphone
2020-05-01,14776439.574710334,13256761.08264772,16361460.276341714,14649789.0,Smartphone
2020-06-01,14885921.50743463,13295199.41361432,16396594.032256585,15062948.0,Smartphone
2020-07-01,15186100.212568633,13652161.761061423,16726836.988852102,14914685.0,Smartphone
2020-08-01,15481367.230737891,13967531.3616114,17054594.290636934,15522137.0,Smartphone
2020-09-01,15259070.327895427,13774825.310974253,16780687.239332527,14992216.0,Smartphone
2020-10-01,15817369.860019045,14358574.515645634,17361798.466048453,15625975.0,Smartphone
2020-11-01,12005371.289090462,10441795.830112897,13644887.923936514,14689313.0,Smartphone
2020-12-01,15100501.278041797,13493818.231428284,16701594.756542647,14689816.0,Smartphone
2021-01-01,15691262.033382926,14035695.994650256,17237840.550926447,15245128.0,Smartphone
2021-02-01,13968187.202379199,12410958.803800752,15605949.241124306,13390173.0,Smartphone
2021-03-01,15370504.51220828,13861040.018474428,16900235.42759883,15238245.0,Smartphone
2021-04-01,14738556.53039456,13194155.167437853,16272646.223988062,14411009.0,Smartphone
2021-05-01,14918569.108353112,13380715.762716608,16409630.58285091,14793788.0,Smartphone
2021-06-01,14953656.372938592,13369590.960527647,16511381.174141496,15058624.0,Smartphone
2021-07-01,15149646.759045666,13641403.34340394,16699347.784806818,15305823.0,Smartphone
2021-08-01,15359265.683797292,13830591.386143284,16870849.447242346,15074976.0,Smartphone
2021-09-01,14865573.179182857,13318863.494419858,16399962.470212623,14535692.0,Smartphone
2021-10-01,15463950.601570992,14009878.24340636,17081277.863925286,15036585.0,Smartphone
2021-11-01,12968892.70692286,11460379.393000094,14545505.877776343,15217352.0,Smartphone
2021-12-01,14883755.365324924,13458708.084320964,16456068.35579808,14598343.0,Smartphone
2022-01-01,15411478.477529623,14031547.512649704,16914366.800113607,15554846.0,Smartphone
2022-02-01,13893817.859072141,12383576.067118775,15446727.295641152,14374527.0,Smartphone
2022-03-01,15151305.132282268,13581864.735501084,16631876.23633794,15227689.0,Smartphone
2022-04-01,14814934.644721482,13160496.071623627,16297056.779206678,14840012.0,Smartphone
2022-05-01,15059751.597732509,13617222.494572077,16456586.315342035,15185858.0,Smartphone
2022-06-01,15016275.939261096,13491311.335493166,16545327.938071596,15278857.0,Smartphone
2022-07-01,15106541.759697169,13486206.6588708,16682438.222630614,14674559.0,Smartphone
2022-08-01,15230496.148818886,13755554.081534216,16742908.429890143,14797103.0,Smartphone
2022-09-01,14473902.092501963,12950152.094162785,15975059.152597599,14512932.0,Smartphone
2022-10-01,15129841.563288497,13567988.679420924,16696592.723788884,15046620.0,Smartphone
2022-11-01,13930627.43854714,12428668.188074457,15469204.571098525,14683545.0,Smartphone
2022-12-01,14650047.135289514,13013382.914549572,16230232.930305563,14500951.0,Smartphone
2023-01-01,15127547.340769848,13570364.865616301,16661758.070968335,14649973.0,Smartphone
2023-02-01,13819154.435712483,12286125.243930906,15410914.412719464,13740401.0,Smartphone
2023-03-01,14936497.271225927,13411836.112707524,16529950.560612967,14846314.0,Smartphone
2023-04-01,14896387.093769345,13327498.812436175,16421461.451530494,14593277.0,Smartphone
2023-05-01,15199082.201328686,13693707.648885341,16726207.404749064,14578427.0,Smartphone
2023-06-01,15073254.621100547,13508124.418314444,16619298.359485352,14286166.0,Smartphone
2023-07-01,15056725.11859772,13520607.686492437,16627020.730177157,14857220.0,Smartphone
2023-08-01,15095466.509320118,13631040.153310647,16535900.552189426,15312649.0,Smartphone
2023-09-01,14084959.294266613,12603565.124218667,15627587.575847128,14305592.0,Smartphone
2023-10-01,14815495.581697399,13303051.797077537,16350489.881813733,15416793.0,Smartphone
2023-11-01,14889732.088319793,13364834.176100004,16453428.845470173,14253752.0,Smartphone
2023-12-01,14314502.652152183,12785150.648082549,15789826.59256566,15184249.0,Smartphone
2024-01-01,14661128.94730046,13042237.14467532,16198368.250179911,15612364.0,Smartphone
2024-02-01,13494158.802799402,11900208.47113296,15028959.658801407,13943612.0,Smartphone
2024-03-01,15058172.641579492,13458879.681767866,16585348.56186921,15600155.0,Smartphone
2024-04-01,14073777.071276331,12523846.387927495,15672467.466963597,14569253.0,Smartphone
2024-05-01,14090213.497015074,12497247.457995156,15677982.500117838,14880396.0,Smartphone
2024-06-01,14103627.247451061,12482692.98594333,15774193.060342524,14365282.0,Smartphone
2024-07-01,14298167.250744656,12729347.054827033,15837272.642347187,15092754.0,Smartphone
2024-08-01,14481464.226507463,12924793.550218616,15990425.031347826,14976184.0,Smartphone
2024-09-01,14180137.664469853,12569105.77638461,15756149.232212888,14547485.0,Smartphone
2024-10-01,14605238.870845567,13069408.227313431,16104118.384843562,14724462.0,Smartphone
2024-11-01,11011826.419150503,9568566.017860617,12521548.300139679,5518047.0,Smartphone
