ds,yhat,yhat_lower,yhat_upper,y,category
2020-01-01,3327237.3218991337,2952440.2332520206,3696217.5345533676,3288728.0,Streaming Device
2020-02-01,2937758.265378607,2560708.8179962193,3323358.8579843994,3171877.0,Streaming Device
2020-03-01,3331522.9831802673,2950262.001469658,3709347.5599774914,3357620.0,Streaming Device
2020-04-01,3392854.806873495,3035160.5561995236,3751979.330300488,3442221.0,Streaming Device
2020-05-01,3179159.669690903,2814452.1592963915,3539559.7829594566,3362391.0,Streaming Device
2020-06-01,3309204.24871277,2955693.2832861207,3667643.179059541,3289256.0,Streaming Device
2020-07-01,3378768.12800255,2988563.4889547164,3744357.2991876793,3471542.0,Streaming Device
2020-08-01,3448870.2864695224,3102489.420318613,3832516.6369795627,3328705.0,Streaming Device
2020-09-01,3323720.0884407377,2957601.104679623,3677326.8793885643,3403470.0,Streaming Device
2020-10-01,3453591.02357726,3089972.3918574126,3802058.099904462,3231739.0,Streaming Device
2020-11-01,2570609.1031362847,2185920.322013807,2922145.8386883913,3208965.0,Streaming Device
2020-12-01,3686896.0116413506,3317220.3735722704,4056814.247216349,3459896.0,Streaming Device
2021-01-01,3326561.7626886126,2969753.063916113,3702192.698366098,3264558.0,Streaming Device
2021-02-01,3037422.9024412194,2665713.19600001,3383534.8686615434,2876253.0,Streaming Device
2021-03-01,3360983.225629732,2976070.3010726846,3724762.7294177026,3295988.0,Streaming Device
2021-04-01,3335495.7772347704,2987657.258088229,3702824.71355019,3321047.0,Streaming Device
2021-05-01,3209949.136135861,2852195.5076663257,3582113.718903833,3092859.0,Streaming Device
2021-06-01,3309652.870500413,2938502.6987770284,3659796.630922882,3567611.0,Streaming Device
2021-07-01,3361474.3235425465,2961407.3352644043,3741111.5125573603,3138730.0,Streaming Device
2021-08-01,3394561.0048306603,3040086.6724294866,3747451.496271078,3437612.0,Streaming Device
2021-09-01,3299296.2999342703,2936546.5791254104,3644608.1828730875,3085967.0,Streaming Device
2021-10-01,3355232.561516567,3013127.573195514,3704063.563052575,3391618.0,Streaming Device
2021-11-01,2782604.177004974,2418016.8984320597,3136527.7413205346,3122437.0,Streaming Device
2021-12-01,3558845.0554737058,3191562.634955901,3932793.6457851427,3410078.0,Streaming Device
2022-01-01,3307717.822982565,2961788.596221694,3664422.1032272633,3079739.0,Streaming Device
2022-02-01,2986702.926117302,2633402.3804878937,3377494.460627103,3041547.0,Streaming Device
2022-03-01,3392016.4617713913,3045313.026623871,3770605.9385718536,3318165.0,Streaming Device
2022-04-01,3280829.384616285,2905725.4156971774,3634306.5931494865,3232440.0,Streaming Device
2022-05-01,3243188.8015390583,2882247.715251304,3618185.1479530586,3290861.0,Streaming Device
2022-06-01,3311799.0069298716,2953621.320567518,3680021.612041296,3148109.0,Streaming Device
2022-07-01,3345992.320341499,3012352.333997582,3724997.7103036363,3058855.0,Streaming Device
2022-08-01,3343224.219812896,2962434.954299524,3701332.870181703,3137246.0,Streaming Device
2022-09-01,3278265.0146285477,2956041.052761641,3649514.628735128,3175471.0,Streaming Device
2022-10-01,3263686.340730873,2913116.873535964,3608799.836480323,3302214.0,Streaming Device
2022-11-01,2995673.565522719,2629861.656002407,3341766.624768904,2972765.0,Streaming Device
2022-12-01,3431905.5730045214,3069279.390639946,3803883.806946431,3721894.0,Streaming Device
2023-01-01,3292239.5551128355,2945758.312372277,3678220.2479152763,3352391.0,Streaming Device
2023-02-01,2939723.8379128594,2573677.5159870903,3311940.492566832,2908226.0,Streaming Device
2023-03-01,3425651.9891768177,3078814.9286246677,3773996.7559562624,3530584.0,Streaming Device
2023-04-01,3229177.4413806596,2868107.959949826,3622585.9850982586,3198786.0,Streaming Device
2023-05-01,3278808.513578548,2913161.897449604,3629378.644633396,3162331.0,Streaming Device
2023-06-01,3314947.5585179776,2984733.026580888,3663965.9102121904,3208550.0,Streaming Device
2023-07-01,3331129.5345594534,2978304.2564378893,3694494.907648063,3505639.0,Streaming Device
2023-08-01,3293257.8810652387,2919408.73265814,3652946.3010088634,3396157.0,Streaming Device
2023-09-01,3258702.64216531,2914116.701100383,3621430.8763711834,3467517.0,Streaming Device
2023-10-01,3176494.391727055,2817585.670499194,3543579.400482556,3290310.0,Streaming Device
2023-11-01,3207638.477204712,2829375.8144031353,3560952.159220221,3324989.0,Streaming Device
2023-12-01,3297638.042310993,2938520.850569839,3675602.969799453,3387563.0,Streaming Device
2024-01-01,3266320.12153889,2890632.361950577,3643825.137690304,3540187.0,Streaming Device
2024-02-01,2879428.7924309466,2506949.7951365113,3237324.0720954216,2782961.0,Streaming Device
2024-03-01,3260552.019921845,2871767.3410488525,3603203.2538286317,3272849.0,Streaming Device
2024-04-01,3315322.5666996986,2948452.916004045,3676218.770082842,3362300.0,Streaming Device
2024-05-01,3101742.150525632,2727040.57205882,3475932.2537110182,3104397.0,Streaming Device
2024-06-01,3223486.9676827956,2850607.3377934243,3577847.6472949325,3255516.0,Streaming Device
2024-07-01,3286173.2846015594,2920910.6314086406,3623987.8739405684,3533566.0,Streaming Device
2024-08-01,3348996.5464856853,2984119.9163618647,3706088.338179325,3533010.0,Streaming Device
2024-09-01,3222303.167794325,2878040.2333344338,3595689.745158349,3249799.0,Streaming Device
2024-10-01,3343011.3493000874,2983314.7312539527,3690105.498761749,3378155.0,Streaming Device
2024-11-01,2484298.833993593,2093195.590331649,2872392.8497561645,1376346.0,Streaming Device
2024-12-01,3557545.770547125,3192510.234931831,3922497.817349503,,Streaming Device
2025-01-01,3204642.0319934785,2869861.5332633248,3582362.205823344,,Streaming Device
2025-02-01,2921338.1892649326,2558960.2331832675,3290647.0818990627,,Streaming Device
2025-03-01,3227765.681122632,2892126.774326585,3576555.8616296803,,Streaming Device
2025-04-01,3198047.014811937,2842769.541902944,3537431.718040373,,Streaming Device
2025-05-01,3072772.600693733,2698708.9383807266,3422504.0735320267,,Streaming Device
2025-06-01,3162989.700730193,2778444.360345713,3494168.525015402,,Streaming Device
2025-07-01,3207337.2782769133,2832175.227116859,3581720.3713515084,,Streaming Device
2025-08-01,3233449.2453046297,2895496.553099132,3607170.8688199916,,Streaming Device
2025-09-01,3137397.8974365876,2761308.4247177807,3491858.034911242,,Streaming Device
2025-10-01,3185334.8418570315,2805765.7015903858,3533072.7543314775,,Streaming Device
2025-11-01,2637196.4646743042,2242497.280642569,3003574.2068706513,,Streaming Device
