ds,yhat,yhat_lower,yhat_upper,y,category
2020-01-01,6399627.799794949,5620013.553989331,7105643.549685944,6235069.0,Subscription Service
2020-02-01,5820433.93524731,5123277.334456587,6565292.121182758,6169053.0,Subscription Service
2020-03-01,6465207.927472858,5743530.928056994,7256327.562845999,6516878.0,Subscription Service
2020-04-01,6065673.448567174,5281122.895463362,6808035.800486829,6129882.0,Subscription Service
2020-05-01,6285465.881095481,5555318.088884553,6988148.794279455,6262790.0,Subscription Service
2020-06-01,6057134.097942128,5329051.232651085,6782347.047816191,5950368.0,Subscription Service
2020-07-01,6393507.359304616,5660524.236878067,7124311.767500863,6328851.0,Subscription Service
2020-08-01,6627190.814314022,5853189.633760838,7318992.412658001,6342416.0,Subscription Service
2020-09-01,6265582.465405144,5589283.9011526,7036416.924003487,6159816.0,Subscription Service
2020-10-01,6612206.973517081,5890828.415429708,7378997.803476047,6121870.0,Subscription Service
2020-11-01,4856627.0416771425,4114675.5674788407,5627843.091829959,6600342.0,Subscription Service
2020-12-01,6297643.612693567,5579601.491505898,7031939.879932405,6012369.0,Subscription Service
2021-01-01,6609829.478095454,5866749.071167422,7347367.891164775,6256760.0,Subscription Service
2021-02-01,6270357.275311072,5500516.987459402,7028443.723027242,6247385.0,Subscription Service
2021-03-01,6416481.359305575,5696240.165831677,7179531.614632797,6298882.0,Subscription Service
2021-04-01,6161003.511925418,5433243.158594804,6919783.650666205,5897673.0,Subscription Service
2021-05-01,6430591.9017833425,5650577.585030889,7112172.429180797,6682504.0,Subscription Service
2021-06-01,6191709.084356677,5471279.351878683,6932699.426686014,6396039.0,Subscription Service
2021-07-01,6409531.473920881,5629891.550504467,7144707.328635335,6519153.0,Subscription Service
2021-08-01,6551476.244817473,5847455.30678006,7289467.79940845,6810010.0,Subscription Service
2021-09-01,6235581.003013532,5454988.0572535265,6971614.301728131,6002121.0,Subscription Service
2021-10-01,6345256.8402615925,5595723.042310205,7132200.979553735,6113230.0,Subscription Service
2021-11-01,5414267.597183025,4682661.822650805,6144077.556959135,5561269.0,Subscription Service
2021-12-01,6316901.22519004,5555079.9461692795,7033083.3912417805,5924965.0,Subscription Service
2022-01-01,6591572.068259764,5856767.5805906905,7316432.364694537,6539844.0,Subscription Service
2022-02-01,6165183.013718246,5405756.458387874,6880672.582896918,6073011.0,Subscription Service
2022-03-01,6370944.86346129,5651754.452206121,7095902.582087258,6561265.0,Subscription Service
2022-04-01,6261471.772947222,5524891.931556934,7000507.201283548,5988847.0,Subscription Service
2022-05-01,6577560.944385015,5837075.431470404,7317942.902794815,6434128.0,Subscription Service
2022-06-01,6324611.18504179,5556775.631530929,7059102.466785808,6326975.0,Subscription Service
2022-07-01,6420789.104870947,5695015.848799001,7151157.293558883,6222828.0,Subscription Service
2022-08-01,6472305.553097272,5768183.554255334,7187921.869662955,6530992.0,Subscription Service
2022-09-01,6204581.091103169,5464369.71005433,6909941.01436121,6225307.0,Subscription Service
2022-10-01,6084420.342337531,5371575.666725154,6789526.55404777,5984603.0,Subscription Service
2022-11-01,5982723.072050579,5211077.206031827,6689727.712962089,6432460.0,Subscription Service
2022-12-01,6327761.482427774,5582591.701544657,7036738.224917092,6838142.0,Subscription Service
2023-01-01,6567727.669952255,5830137.647824892,7349792.120481204,6803394.0,Subscription Service
2023-02-01,6057155.3454277115,5328168.811412583,6754683.286289936,5686374.0,Subscription Service
2023-03-01,6328713.617907502,5623340.952715966,7066366.940048206,6287397.0,Subscription Service
2023-04-01,6366965.639342103,5640576.2035323465,7108416.453368216,6539774.0,Subscription Service
2023-05-01,6725992.426981508,6002972.211753517,7461255.219189565,6572636.0,Subscription Service
2023-06-01,6455344.857989208,5713042.742159651,7242273.965103067,6230148.0,Subscription Service
2023-07-01,6426852.873617883,5657927.229576171,7180183.581524824,6436279.0,Subscription Service
2023-08-01,6389316.0308866855,5685742.164535688,7168977.5972942505,6296882.0,Subscription Service
2023-09-01,6172179.3735194905,5476491.572595599,6928028.7901191935,6406395.0,Subscription Service
2023-10-01,5809398.695434037,5119538.4544624025,6553469.744835684,6235847.0,Subscription Service
2023-11-01,6514914.555729769,5813730.320772896,7267737.746251742,6531488.0,Subscription Service
2023-12-01,6263141.692680141,5537341.814639077,6990861.137669342,6429210.0,Subscription Service
2024-01-01,6445981.521022149,5801644.994075472,7134884.842522017,6779011.0,Subscription Service
2024-02-01,5841318.039718365,5142553.080678722,6547986.380364122,5988658.0,Subscription Service
2024-03-01,6466318.647322402,5721562.869252931,7185052.562882113,6388210.0,Subscription Service
2024-04-01,6044584.16621186,5232557.404687142,6794481.535950718,6350331.0,Subscription Service
