ds,yhat,yhat_lower,yhat_upper,y,category
2020-01-01,16398408.840463767,14633377.486781787,18109810.07447953,15920901.0,Tablet
2020-02-01,15253303.604682202,13526789.430740172,16806610.89497689,15127628.0,Tablet
2020-03-01,16649016.675333077,15093262.822056083,18193418.275781836,16487608.0,Tablet
2020-04-01,16527210.061892804,14820299.802861495,18264033.446910854,16979586.0,Tablet
2020-05-01,16558683.513073785,14924143.07557809,18259941.382898584,17055080.0,Tablet
2020-06-01,15900666.592704661,14241512.209056377,17676396.157652713,15823845.0,Tablet
2020-07-01,16563106.429462995,14890674.583890332,18259578.379404634,16195357.0,Tablet
2020-08-01,16645638.995050322,15123858.831204921,18312287.874858636,17069686.0,Tablet
2020-09-01,16574416.838962717,14843168.896350447,18169439.825816806,16484445.0,Tablet
2020-10-01,17193372.865575515,15450284.037465291,18889176.12008076,16371307.0,Tablet
2020-11-01,13350593.833801318,11669023.320002109,14892740.309421146,15679298.0,Tablet
2020-12-01,16591595.046496512,14991120.249093495,18348404.00081237,15762977.0,Tablet
2021-01-01,17772869.499595005,16063144.180662243,19573181.830928937,17211472.0,Tablet
2021-02-01,14916501.914185837,13262720.74903501,16593956.65267513,14665748.0,Tablet
2021-03-01,16856385.169056647,15212521.857317997,18487463.56063217,17198077.0,Tablet
2021-04-01,16342704.8516008,14652184.863429362,17972635.369088434,17169114.0,Tablet
2021-05-01,16582054.799865969,14839784.710545626,18244489.923476517,16600403.0,Tablet
2021-06-01,16045364.095041227,14489553.12670303,17825671.73815827,16333394.0,Tablet
2021-07-01,16636755.639442224,14995523.24355706,18287862.151555583,16572395.0,Tablet
2021-08-01,16756266.548568236,15100600.926120598,18419487.33852435,16069148.0,Tablet
2021-09-01,16226598.008609813,14556263.621397274,17997037.66508229,15892520.0,Tablet
2021-10-01,16811218.498935953,15120975.889210932,18578657.230154604,15693495.0,Tablet
2021-11-01,14427507.858558083,12753606.22696581,16049482.257861843,16765546.0,Tablet
2021-12-01,16334329.955584759,14657495.259818088,18145319.696643177,15563213.0,Tablet
2022-01-01,17337317.00634325,15699099.068896895,19093594.807610545,17290015.0,Tablet
2022-02-01,15040969.00790646,13290357.665153831,16782645.48650423,14915790.0,Tablet
2022-03-01,17060844.03385415,15308511.736381508,18915440.935831632,17624843.0,Tablet
2022-04-01,16155873.752613038,14528673.074399404,17826599.507979915,15294844.0,Tablet
2022-05-01,16609371.347311972,14986697.736578275,18234928.91314545,16788558.0,Tablet
2022-06-01,16191591.5552244,14610745.094223136,17707072.025417708,16281973.0,Tablet
2022-07-01,16707629.292951034,14998785.771703148,18403960.696606364,15832934.0,Tablet
2022-08-01,16859654.109317686,15084204.100862253,18492711.78874519,16982126.0,Tablet
2022-09-01,15874802.733349824,14200586.946440753,17572108.071007237,15378733.0,Tablet
2022-10-01,16446365.19161363,14745615.951256474,18099202.708557233,16154732.0,Tablet
2022-11-01,15510076.76119256,13892676.45300132,17195126.23297965,16453331.0,Tablet
2022-12-01,16057832.355741434,14326433.010691784,17773915.622976057,17160994.0,Tablet
2023-01-01,16901807.354306627,15223024.751766928,18512935.04052265,16413688.0,Tablet
2023-02-01,15174474.464121813,13450557.804461114,16753597.843112249,14905861.0,Tablet
2023-03-01,17262177.626524374,15499430.47273742,18974533.171412557,16702570.0,Tablet
2023-04-01,15966888.072790517,14142298.910191642,17723476.807236232,15797124.0,Tablet
2023-05-01,16640639.602049189,14937767.41712402,18311855.304286037,15837516.0,Tablet
2023-06-01,16339175.041398682,14591092.870159442,18072516.028132863,15542064.0,Tablet
2023-07-01,16775602.122919343,15037470.815453295,18422837.333486,16954165.0,Tablet
2023-08-01,16955782.125409618,15436479.035496175,18630776.46827487,17045942.0,Tablet
2023-09-01,15519519.050462319,13843244.532791564,17173261.309576716,16321745.0,Tablet
2023-10-01,16098991.05818189,14383970.256984282,17700805.208586026,17366753.0,Tablet
2023-11-01,16596995.043133302,14888750.08661573,18261666.340252437,16139923.0,Tablet
2023-12-01,15680337.524297062,13953923.750282615,17480515.338887703,16190525.0,Tablet
2024-01-01,16293231.950065464,14539753.989611877,17932501.527081396,17896278.0,Tablet
2024-02-01,15073502.841759628,13311875.178608527,16758473.380486917,15873240.0,Tablet
2024-03-01,16369081.546582056,14712491.907798367,17950925.14556401,16203290.0,Tablet
2024-04-01,16160539.30345045,14532593.876185177,17760373.138324488,15926890.0,Tablet
2024-05-01,16105246.189931324,14285953.179529987,17774654.001355898,16230097.0,Tablet
2024-06-01,15379860.057564197,13648582.237015791,16948890.323323578,15901023.0,Tablet
